63.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
10:44:14.1 (1990112)|USER_INFO|[EXTERNAL]|005gL000000bXjT|divij@wbconnect.com|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
10:44:14.1 (2079121)|EXECUTION_STARTED
10:44:14.1 (2108237)|CODE_UNIT_STARTED|[EXTERNAL]|apex://WBTemplateController/ACTION$createWhatsappTemplate
10:44:14.1 (4632151)|CODE_UNIT_STARTED|[EXTERNAL]|01pgL000000QsUb|WBTemplateController.createWhatsappTemplate(String)
10:44:14.1 (9736367)|VARIABLE_SCOPE_BEGIN|[22]|WBTemplateController.SETTINGS|MVWB__WBConnect_Configuration__mdt|true|true
10:44:14.1 (9844611)|VARIABLE_SCOPE_BEGIN|[19]|WBTemplateController.accessToken|String|false|true
10:44:14.1 (9870756)|VARIABLE_SCOPE_BEGIN|[20]|WBTemplateController.endpoint|String|false|true
10:44:14.1 (9878361)|VARIABLE_SCOPE_BEGIN|[21]|WBTemplateController.uploadEndpoint|String|false|true
10:44:14.1 (10095534)|HEAP_ALLOCATE|[93]|Bytes:3
10:44:14.1 (10162310)|HEAP_ALLOCATE|[98]|Bytes:152
10:44:14.1 (10183525)|HEAP_ALLOCATE|[415]|Bytes:408
10:44:14.1 (10200624)|HEAP_ALLOCATE|[428]|Bytes:408
10:44:14.1 (10213823)|HEAP_ALLOCATE|[536]|Bytes:48
10:44:14.1 (10249681)|HEAP_ALLOCATE|[247]|Bytes:6
10:44:14.1 (10270538)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:36
10:44:14.1 (10277410)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:56
10:44:14.1 (10282747)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:102
10:44:14.1 (10337564)|METHOD_ENTRY|[17]|01pgL000000QsUb|WBTemplateController.WBTemplateController()
10:44:14.1 (10365973)|STATEMENT_EXECUTE|[17]
10:44:14.1 (10411304)|STATEMENT_EXECUTE|[17]
10:44:14.1 (10444839)|HEAP_ALLOCATE|[68]|Bytes:5
10:44:14.1 (10521565)|HEAP_ALLOCATE|[74]|Bytes:5
10:44:14.1 (10537033)|HEAP_ALLOCATE|[82]|Bytes:7
10:44:14.1 (10565439)|SYSTEM_MODE_ENTER|true
10:44:14.1 (10591119)|HEAP_ALLOCATE|[25]|Bytes:5
10:44:14.1 (10597294)|STATEMENT_EXECUTE|[24]
10:44:14.1 (10599094)|STATEMENT_EXECUTE|[25]
10:44:14.1 (10600450)|STATEMENT_EXECUTE|[25]
10:44:14.1 (10602097)|STATEMENT_EXECUTE|[26]
10:44:14.1 (10604729)|HEAP_ALLOCATE|[26]|Bytes:180
10:44:14.1 (10628178)|HEAP_ALLOCATE|[26]|Bytes:4
10:44:14.1 (12516062)|SOQL_EXECUTE_BEGIN|[26]|Aggregations:0|SELECT MVWB__Access_Token__c, MVWB__Application_Id__c, MVWB__Phone_Number_Id__c, MVWB__Business_Account_Id__c FROM MVWB__WBConnect_Configuration__mdt WITH SECURITY_ENFORCED LIMIT 1
10:44:14.1 (15372263)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
10:44:14.1 (15487289)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
10:44:14.1 (15535624)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
10:44:14.1 (15571834)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
10:44:14.1 (16738111)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
10:44:14.1 (22860059)|SOQL_EXECUTE_END|[26]|Rows:1
10:44:14.1 (22928462)|HEAP_ALLOCATE|[26]|Bytes:8
10:44:14.1 (22975547)|HEAP_ALLOCATE|[26]|Bytes:392
10:44:14.1 (23106683)|HEAP_ALLOCATE|[26]|Bytes:8
10:44:14.1 (23159420)|HEAP_ALLOCATE|[26]|Bytes:60
10:44:14.1 (23258424)|HEAP_ALLOCATE|[26]|Bytes:24
10:44:14.1 (23514620)|VARIABLE_ASSIGNMENT|[26]|WBTemplateController.SETTINGS|{"MVWB__Access_Token__c":"EAAVUhq0jVsUBOZCkt9x (185 more) ...","MVWB__Application_Id__c":"1500312290678469","MVWB__Phone_Number_Id__c":"544633438726755","MVWB__Business_Account_Id__c":"499269473267232","Id":"m01gL000001MsPNQA0"}|0x47be6804
10:44:14.1 (23532201)|STATEMENT_EXECUTE|[32]
10:44:14.1 (23741328)|VARIABLE_ASSIGNMENT|[32]|WBTemplateController.accessToken|"EAAVUhq0jVsUBOZCkt9x (185 more) ..."
10:44:14.1 (23750845)|STATEMENT_EXECUTE|[819]
10:44:14.1 (23752685)|STATEMENT_EXECUTE|[826]
10:44:14.1 (23768145)|SYSTEM_MODE_EXIT|true
10:44:14.1 (23804194)|METHOD_EXIT|[17]|WBTemplateController
10:44:14.1 (23814702)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:487
10:44:14.1 (23848379)|VARIABLE_SCOPE_BEGIN|[453]|serializedWrapper|String|false|false
10:44:14.1 (23865977)|VARIABLE_ASSIGNMENT|[453]|serializedWrapper|"{\"templateName\":\"aut (467 more) ..."
10:44:14.1 (23894641)|SYSTEM_MODE_ENTER|true
10:44:14.1 (23914840)|HEAP_ALLOCATE|[454]|Bytes:5
