63.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
10:27:47.0 (234453)|USER_INFO|[EXTERNAL]|005gL000000bXjT|divij@wbconnect.com|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
10:27:47.0 (308233)|EXECUTION_STARTED
10:27:47.0 (326124)|CODE_UNIT_STARTED|[EXTERNAL]|apex://WBTemplateController/ACTION$createWhatsappTemplate
10:27:47.0 (2495313)|CODE_UNIT_STARTED|[EXTERNAL]|01pgL000000QsUb|WBTemplateController.createWhatsappTemplate(String)
10:27:47.0 (2768607)|HEAP_ALLOCATE|[93]|Bytes:3
10:27:47.0 (2864817)|HEAP_ALLOCATE|[98]|Bytes:152
10:27:47.0 (2880492)|HEAP_ALLOCATE|[415]|Bytes:408
10:27:47.0 (2892032)|HEAP_ALLOCATE|[428]|Bytes:408
10:27:47.0 (2901515)|HEAP_ALLOCATE|[536]|Bytes:48
10:27:47.0 (2925763)|HEAP_ALLOCATE|[247]|Bytes:6
10:27:47.0 (2975859)|VARIABLE_SCOPE_BEGIN|[22]|WBTemplateController.SETTINGS|MVWB__WBConnect_Configuration__mdt|true|true
10:27:47.0 (2992292)|VARIABLE_SCOPE_BEGIN|[19]|WBTemplateController.accessToken|String|false|true
10:27:47.0 (3000060)|VARIABLE_SCOPE_BEGIN|[20]|WBTemplateController.endpoint|String|false|true
10:27:47.0 (3008244)|VARIABLE_SCOPE_BEGIN|[21]|WBTemplateController.uploadEndpoint|String|false|true
10:27:47.0 (3049981)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:36
10:27:47.0 (3054178)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:56
10:27:47.0 (3057137)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:102
10:27:47.0 (3228428)|METHOD_ENTRY|[17]|01pgL000000QsUb|WBTemplateController.WBTemplateController()
10:27:47.0 (3236616)|STATEMENT_EXECUTE|[17]
10:27:47.0 (3242217)|STATEMENT_EXECUTE|[17]
10:27:47.0 (3268251)|HEAP_ALLOCATE|[68]|Bytes:5
10:27:47.0 (3304606)|HEAP_ALLOCATE|[74]|Bytes:5
10:27:47.0 (3314131)|HEAP_ALLOCATE|[82]|Bytes:7
10:27:47.0 (3330408)|SYSTEM_MODE_ENTER|true
10:27:47.0 (3345953)|HEAP_ALLOCATE|[25]|Bytes:5
10:27:47.0 (3350288)|STATEMENT_EXECUTE|[24]
10:27:47.0 (3352231)|STATEMENT_EXECUTE|[25]
10:27:47.0 (3353735)|STATEMENT_EXECUTE|[25]
10:27:47.0 (3355636)|STATEMENT_EXECUTE|[26]
10:27:47.0 (3358124)|HEAP_ALLOCATE|[26]|Bytes:180
10:27:47.0 (3376637)|HEAP_ALLOCATE|[26]|Bytes:4
10:27:47.0 (3896375)|SOQL_EXECUTE_BEGIN|[26]|Aggregations:0|SELECT MVWB__Access_Token__c, MVWB__Application_Id__c, MVWB__Phone_Number_Id__c, MVWB__Business_Account_Id__c FROM MVWB__WBConnect_Configuration__mdt WITH SECURITY_ENFORCED LIMIT 1
10:27:47.0 (4365616)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
10:27:47.0 (4439044)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
10:27:47.0 (4479594)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
10:27:47.0 (4515403)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
10:27:47.0 (4663563)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
10:27:47.0 (6855417)|SOQL_EXECUTE_END|[26]|Rows:1
10:27:47.0 (6914668)|HEAP_ALLOCATE|[26]|Bytes:8
10:27:47.0 (6945349)|HEAP_ALLOCATE|[26]|Bytes:392
10:27:47.0 (7034308)|HEAP_ALLOCATE|[26]|Bytes:8
10:27:47.0 (7053644)|HEAP_ALLOCATE|[26]|Bytes:60
10:27:47.0 (7123350)|HEAP_ALLOCATE|[26]|Bytes:24
10:27:47.0 (7248602)|VARIABLE_ASSIGNMENT|[26]|WBTemplateController.SETTINGS|{"MVWB__Access_Token__c":"EAAVUhq0jVsUBOZCkt9x (185 more) ...","MVWB__Application_Id__c":"1500312290678469","MVWB__Phone_Number_Id__c":"544633438726755","MVWB__Business_Account_Id__c":"499269473267232","Id":"m01gL000001MsPNQA0"}|0xd8bbf04
10:27:47.0 (7260242)|STATEMENT_EXECUTE|[32]
10:27:47.0 (7316316)|VARIABLE_ASSIGNMENT|[32]|WBTemplateController.accessToken|"EAAVUhq0jVsUBOZCkt9x (185 more) ..."
10:27:47.0 (7322534)|STATEMENT_EXECUTE|[819]
10:27:47.0 (7324139)|STATEMENT_EXECUTE|[826]
