63.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
00:05:27.1 (1795607)|USER_INFO|[EXTERNAL]|005gL000000bXjT|divij@wbconnect.com|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
00:05:27.1 (1869423)|EXECUTION_STARTED
00:05:27.1 (1890179)|CODE_UNIT_STARTED|[EXTERNAL]|apex://WBTemplateController/ACTION$createWhatsappTemplate
00:05:27.1 (3639058)|CODE_UNIT_STARTED|[EXTERNAL]|01pgL000000QsUb|WBTemplateController.createWhatsappTemplate(String)
00:05:27.1 (6401747)|VARIABLE_SCOPE_BEGIN|[22]|WBTemplateController.SETTINGS|MVWB__WBConnect_Configuration__mdt|true|true
00:05:27.1 (6458553)|VARIABLE_SCOPE_BEGIN|[19]|WBTemplateController.accessToken|String|false|true
00:05:27.1 (6463172)|VARIABLE_SCOPE_BEGIN|[20]|WBTemplateController.endpoint|String|false|true
00:05:27.1 (6466691)|VARIABLE_SCOPE_BEGIN|[21]|WBTemplateController.uploadEndpoint|String|false|true
00:05:27.1 (6608227)|HEAP_ALLOCATE|[93]|Bytes:3
00:05:27.1 (6652297)|HEAP_ALLOCATE|[98]|Bytes:152
00:05:27.1 (6666822)|HEAP_ALLOCATE|[415]|Bytes:408
00:05:27.1 (6677819)|HEAP_ALLOCATE|[428]|Bytes:408
00:05:27.1 (6685906)|HEAP_ALLOCATE|[536]|Bytes:48
00:05:27.1 (6708172)|HEAP_ALLOCATE|[247]|Bytes:6
00:05:27.1 (6718894)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:36
00:05:27.1 (6721928)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:56
00:05:27.1 (6724837)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:102
00:05:27.1 (8466527)|METHOD_ENTRY|[17]|01pgL000000QsUb|WBTemplateController.WBTemplateController()
00:05:27.1 (8475116)|STATEMENT_EXECUTE|[17]
00:05:27.1 (8479523)|STATEMENT_EXECUTE|[17]
00:05:27.1 (8502571)|HEAP_ALLOCATE|[68]|Bytes:5
00:05:27.1 (8531633)|HEAP_ALLOCATE|[74]|Bytes:5
00:05:27.1 (8538107)|HEAP_ALLOCATE|[82]|Bytes:7
00:05:27.1 (8555767)|SYSTEM_MODE_ENTER|true
00:05:27.1 (8571350)|HEAP_ALLOCATE|[25]|Bytes:5
00:05:27.1 (8574185)|STATEMENT_EXECUTE|[24]
00:05:27.1 (8575431)|STATEMENT_EXECUTE|[25]
00:05:27.1 (8576337)|STATEMENT_EXECUTE|[25]
00:05:27.1 (8577472)|STATEMENT_EXECUTE|[26]
00:05:27.1 (8579069)|HEAP_ALLOCATE|[26]|Bytes:180
00:05:27.1 (8593313)|HEAP_ALLOCATE|[26]|Bytes:4
00:05:27.1 (10042265)|SOQL_EXECUTE_BEGIN|[26]|Aggregations:0|SELECT MVWB__Access_Token__c, MVWB__Application_Id__c, MVWB__Phone_Number_Id__c, MVWB__Business_Account_Id__c FROM MVWB__WBConnect_Configuration__mdt WITH SECURITY_ENFORCED LIMIT 1
00:05:27.1 (12403478)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
00:05:27.1 (12477363)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
00:05:27.1 (12512470)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
00:05:27.1 (12543620)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
00:05:27.1 (13495916)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
00:05:27.1 (18043338)|SOQL_EXECUTE_END|[26]|Rows:1
00:05:27.1 (18083646)|HEAP_ALLOCATE|[26]|Bytes:8
00:05:27.1 (18112490)|HEAP_ALLOCATE|[26]|Bytes:392
00:05:27.1 (18204149)|HEAP_ALLOCATE|[26]|Bytes:8
00:05:27.1 (18218287)|HEAP_ALLOCATE|[26]|Bytes:60
00:05:27.1 (18288218)|HEAP_ALLOCATE|[26]|Bytes:24
00:05:27.1 (18371550)|VARIABLE_ASSIGNMENT|[26]|WBTemplateController.SETTINGS|{"MVWB__Access_Token__c":"EAAVUhq0jVsUBOZCkt9x (185 more) ...","MVWB__Application_Id__c":"1500312290678469","MVWB__Phone_Number_Id__c":"544633438726755","MVWB__Business_Account_Id__c":"499269473267232","Id":"m01gL000001MsPNQA0"}|0x603e2588
00:05:27.1 (18379316)|STATEMENT_EXECUTE|[32]
00:05:27.1 (18429480)|VARIABLE_ASSIGNMENT|[32]|WBTemplateController.accessToken|"EAAVUhq0jVsUBOZCkt9x (185 more) ..."
00:05:27.1 (18434237)|STATEMENT_EXECUTE|[819]
00:05:27.1 (18435216)|STATEMENT_EXECUTE|[826]
00:05:27.1 (18444600)|SYSTEM_MODE_EXIT|true
00:05:27.1 (18465982)|METHOD_EXIT|[17]|WBTemplateController
00:05:27.1 (18472982)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:716
00:05:27.1 (18481037)|VARIABLE_SCOPE_BEGIN|[453]|serializedWrapper|String|false|false
00:05:27.1 (18488461)|VARIABLE_ASSIGNMENT|[453]|serializedWrapper|"{\"templateName\":\"tes (696 more) ..."
00:05:27.1 (18502750)|SYSTEM_MODE_ENTER|true
00:05:27.1 (18513217)|HEAP_ALLOCATE|[454]|Bytes:5
00:05:27.1 (18516067)|STATEMENT_EXECUTE|[453]
00:05:27.1 (18517158)|STATEMENT_EXECUTE|[454]
00:05:27.1 (18529106)|HEAP_ALLOCATE|[454]|Bytes:4
00:05:27.1 (18537062)|VARIABLE_SCOPE_BEGIN|[454]|response|Map<String,ANY>|true|false
00:05:27.1 (18559132)|VARIABLE_ASSIGNMENT|[454]|response|{}|0x1e37b6d0
00:05:27.1 (18562296)|STATEMENT_EXECUTE|[456]
