63.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
04:25:09.1 (1361136)|USER_INFO|[EXTERNAL]|005gL000000bXjT|divij@wbconnect.com|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
04:25:09.1 (1431834)|EXECUTION_STARTED
04:25:09.1 (1450464)|CODE_UNIT_STARTED|[EXTERNAL]|apex://WBTemplateController/ACTION$getObjectFields
04:25:09.1 (3474537)|CODE_UNIT_STARTED|[EXTERNAL]|01pgL000000QsUb|WBTemplateController.getObjectFields(String)
04:25:09.1 (4232526)|VARIABLE_SCOPE_BEGIN|[22]|WBTemplateController.SETTINGS|MVWB__WBConnect_Configuration__mdt|true|true
04:25:09.1 (4306029)|VARIABLE_SCOPE_BEGIN|[19]|WBTemplateController.accessToken|String|false|true
04:25:09.1 (4311849)|VARIABLE_SCOPE_BEGIN|[20]|WBTemplateController.endpoint|String|false|true
04:25:09.1 (4316493)|VARIABLE_SCOPE_BEGIN|[21]|WBTemplateController.uploadEndpoint|String|false|true
04:25:09.1 (4431319)|HEAP_ALLOCATE|[93]|Bytes:3
04:25:09.1 (4532886)|HEAP_ALLOCATE|[98]|Bytes:152
04:25:09.1 (4548411)|HEAP_ALLOCATE|[415]|Bytes:408
04:25:09.1 (4560036)|HEAP_ALLOCATE|[428]|Bytes:408
04:25:09.1 (4568168)|HEAP_ALLOCATE|[536]|Bytes:48
04:25:09.1 (4590286)|HEAP_ALLOCATE|[247]|Bytes:6
04:25:09.1 (4601586)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:36
04:25:09.1 (4605193)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:56
04:25:09.1 (4607551)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:102
04:25:09.1 (4673520)|METHOD_ENTRY|[17]|01pgL000000QsUb|WBTemplateController.WBTemplateController()
04:25:09.1 (4681757)|STATEMENT_EXECUTE|[17]
04:25:09.1 (4685754)|STATEMENT_EXECUTE|[17]
04:25:09.1 (4706514)|HEAP_ALLOCATE|[68]|Bytes:5
04:25:09.1 (4728738)|HEAP_ALLOCATE|[74]|Bytes:5
04:25:09.1 (4734532)|HEAP_ALLOCATE|[82]|Bytes:7
04:25:09.1 (4748705)|SYSTEM_MODE_ENTER|true
04:25:09.1 (4764160)|HEAP_ALLOCATE|[25]|Bytes:5
04:25:09.1 (4766973)|STATEMENT_EXECUTE|[24]
04:25:09.1 (4768024)|STATEMENT_EXECUTE|[25]
04:25:09.1 (4768766)|STATEMENT_EXECUTE|[25]
04:25:09.1 (4769749)|STATEMENT_EXECUTE|[26]
04:25:09.1 (4771361)|HEAP_ALLOCATE|[26]|Bytes:180
04:25:09.1 (4790306)|HEAP_ALLOCATE|[26]|Bytes:4
04:25:09.1 (6721484)|SOQL_EXECUTE_BEGIN|[26]|Aggregations:0|SELECT MVWB__Access_Token__c, MVWB__Application_Id__c, MVWB__Phone_Number_Id__c, MVWB__Business_Account_Id__c FROM MVWB__WBConnect_Configuration__mdt WITH SECURITY_ENFORCED LIMIT 1
04:25:09.1 (9150918)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
04:25:09.1 (9223005)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
04:25:09.1 (9258685)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
04:25:09.1 (9289710)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
04:25:09.1 (11212427)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
04:25:09.1 (17161764)|SOQL_EXECUTE_END|[26]|Rows:1
04:25:09.1 (17205411)|HEAP_ALLOCATE|[26]|Bytes:8
04:25:09.1 (17237843)|HEAP_ALLOCATE|[26]|Bytes:392
04:25:09.1 (17295816)|HEAP_ALLOCATE|[26]|Bytes:8
04:25:09.1 (17310395)|HEAP_ALLOCATE|[26]|Bytes:60
04:25:09.1 (17379591)|HEAP_ALLOCATE|[26]|Bytes:24
04:25:09.1 (17467212)|VARIABLE_ASSIGNMENT|[26]|WBTemplateController.SETTINGS|{"MVWB__Access_Token__c":"EAAVUhq0jVsUBOZCkt9x (185 more) ...","MVWB__Application_Id__c":"1500312290678469","MVWB__Phone_Number_Id__c":"544633438726755","MVWB__Business_Account_Id__c":"499269473267232","Id":"m01gL000001MsPNQA0"}|0x19e26419
