63.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
04:25:24.0 (763358)|USER_INFO|[EXTERNAL]|005gL000000bXjT|divij@wbconnect.com|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
04:25:24.0 (835821)|EXECUTION_STARTED
04:25:24.0 (856989)|CODE_UNIT_STARTED|[EXTERNAL]|apex://WBTemplateController/ACTION$createWhatsappTemplate
04:25:24.0 (3523653)|CODE_UNIT_STARTED|[EXTERNAL]|01pgL000000QsUb|WBTemplateController.createWhatsappTemplate(String)
04:25:24.0 (4445978)|VARIABLE_SCOPE_BEGIN|[22]|WBTemplateController.SETTINGS|MVWB__WBConnect_Configuration__mdt|true|true
04:25:24.0 (4539393)|VARIABLE_SCOPE_BEGIN|[19]|WBTemplateController.accessToken|String|false|true
04:25:24.0 (4545437)|VARIABLE_SCOPE_BEGIN|[20]|WBTemplateController.endpoint|String|false|true
04:25:24.0 (4550497)|VARIABLE_SCOPE_BEGIN|[21]|WBTemplateController.uploadEndpoint|String|false|true
04:25:24.0 (4678586)|HEAP_ALLOCATE|[93]|Bytes:3
04:25:24.0 (4720924)|HEAP_ALLOCATE|[98]|Bytes:152
04:25:24.0 (4737522)|HEAP_ALLOCATE|[415]|Bytes:408
04:25:24.0 (4751925)|HEAP_ALLOCATE|[428]|Bytes:408
04:25:24.0 (4762913)|HEAP_ALLOCATE|[536]|Bytes:48
04:25:24.0 (4783152)|HEAP_ALLOCATE|[247]|Bytes:6
04:25:24.0 (4793435)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:36
04:25:24.0 (4797038)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:56
04:25:24.0 (4799354)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:102
04:25:24.0 (4827975)|METHOD_ENTRY|[17]|01pgL000000QsUb|WBTemplateController.WBTemplateController()
04:25:24.0 (4835925)|STATEMENT_EXECUTE|[17]
04:25:24.0 (4839331)|STATEMENT_EXECUTE|[17]
04:25:24.0 (4860186)|HEAP_ALLOCATE|[68]|Bytes:5
04:25:24.0 (4883106)|HEAP_ALLOCATE|[74]|Bytes:5
04:25:24.0 (4888228)|HEAP_ALLOCATE|[82]|Bytes:7
04:25:24.0 (4902025)|SYSTEM_MODE_ENTER|true
04:25:24.0 (4917747)|HEAP_ALLOCATE|[25]|Bytes:5
04:25:24.0 (4921023)|STATEMENT_EXECUTE|[24]
04:25:24.0 (4921837)|STATEMENT_EXECUTE|[25]
04:25:24.0 (4922619)|STATEMENT_EXECUTE|[25]
04:25:24.0 (4923709)|STATEMENT_EXECUTE|[26]
04:25:24.0 (4925676)|HEAP_ALLOCATE|[26]|Bytes:180
04:25:24.0 (4941332)|HEAP_ALLOCATE|[26]|Bytes:4
04:25:24.0 (6917033)|SOQL_EXECUTE_BEGIN|[26]|Aggregations:0|SELECT MVWB__Access_Token__c, MVWB__Application_Id__c, MVWB__Phone_Number_Id__c, MVWB__Business_Account_Id__c FROM MVWB__WBConnect_Configuration__mdt WITH SECURITY_ENFORCED LIMIT 1
04:25:24.0 (9505910)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
04:25:24.0 (9817249)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
04:25:24.0 (9899839)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
04:25:24.0 (9938472)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
